1 4 0 2005-10-31 22:44:32 +0100 (Mon, 31 Oct 2005)
2 807 0 2005-11-01 00:01:57 +0100 (Tue, 01 Nov 2005)
3 821 26 2005-11-01 00:34:21 +0100 (Tue, 01 Nov 2005)
4 897 132 2005-11-01 02:17:56 +0100 (Tue, 01 Nov 2005)
5 898 132 2005-11-06 01:28:10 +0100 (Sun, 06 Nov 2005)
6 939 132 2005-11-06 02:24:21 +0100 (Sun, 06 Nov 2005)
7 948 172 2005-11-09 11:18:37 +0100 (Wed, 09 Nov 2005)
8 1142 473 2005-11-09 13:46:49 +0100 (Wed, 09 Nov 2005)
9 1146 473 2005-11-09 13:52:09 +0100 (Wed, 09 Nov 2005)
10 1272 566 2005-11-09 20:35:20 +0100 (Wed, 09 Nov 2005)
11 1273 566 2005-11-09 20:53:43 +0100 (Wed, 09 Nov 2005)
12 1281 579 2005-11-09 21:21:31 +0100 (Wed, 09 Nov 2005)
13 1284 579 2005-11-09 22:32:14 +0100 (Wed, 09 Nov 2005)
14 1297 579 2005-11-10 23:27:44 +0100 (Thu, 10 Nov 2005)
15 1297 579 2005-11-10 23:42:13 +0100 (Thu, 10 Nov 2005)
16 1366 642 2005-11-11 18:37:53 +0100 (Fri, 11 Nov 2005)
17 1437 685 2005-11-11 20:28:40 +0100 (Fri, 11 Nov 2005)
18 1447 695 2005-11-11 22:53:00 +0100 (Fri, 11 Nov 2005)
19 1447 695 2005-11-11 23:04:40 +0100 (Fri, 11 Nov 2005)
20 1447 695 2005-11-11 23:10:38 +0100 (Fri, 11 Nov 2005)
21 1447 695 2005-11-11 23:14:48 +0100 (Fri, 11 Nov 2005)
22 1447 695 2005-11-11 23:16:38 +0100 (Fri, 11 Nov 2005)
23 1447 695 2005-11-11 23:20:24 +0100 (Fri, 11 Nov 2005)
24 1507 695 2005-11-12 00:43:43 +0100 (Sat, 12 Nov 2005)
25 1552 768 2005-11-12 00:59:31 +0100 (Sat, 12 Nov 2005)
26 1651 841 2005-11-12 02:11:41 +0100 (Sat, 12 Nov 2005)
27 1847 1133 2005-11-12 13:23:36 +0100 (Sat, 12 Nov 2005)
28 1813 1133 2005-11-12 13:37:23 +0100 (Sat, 12 Nov 2005)
29 1913 1279 2005-11-12 14:16:41 +0100 (Sat, 12 Nov 2005)
30 1916 1289 2005-11-12 19:10:48 +0100 (Sat, 12 Nov 2005)
31 1916 1289 2005-11-12 19:34:26 +0100 (Sat, 12 Nov 2005)
32 1916 1289 2005-11-12 19:37:57 +0100 (Sat, 12 Nov 2005)
33 1916 1289 2005-11-12 19:57:47 +0100 (Sat, 12 Nov 2005)
34 1916 1289 2005-11-12 20:33:55 +0100 (Sat, 12 Nov 2005)
35 1920 1299 2005-11-12 21:11:30 +0100 (Sat, 12 Nov 2005)
36 1954 1309 2005-11-12 23:27:08 +0100 (Sat, 12 Nov 2005)
37 1961 1309 2005-11-12 23:33:59 +0100 (Sat, 12 Nov 2005)
38 1965 1319 2005-11-12 23:48:36 +0100 (Sat, 12 Nov 2005)
39 1965 1319 2005-11-12 23:52:40 +0100 (Sat, 12 Nov 2005)
40 1960 1319 2005-11-13 00:08:52 +0100 (Sun, 13 Nov 2005)
41 1994 1332 2005-11-13 00:46:39 +0100 (Sun, 13 Nov 2005)
42 2066 1332 2005-11-13 01:20:58 +0100 (Sun, 13 Nov 2005)
43 2129 1332 2005-11-13 02:47:10 +0100 (Sun, 13 Nov 2005)
44 2128 1332 2005-11-13 02:55:55 +0100 (Sun, 13 Nov 2005)
45 2128 1332 2005-11-13 03:03:32 +0100 (Sun, 13 Nov 2005)
46 2145 1332 2005-11-13 13:04:31 +0100 (Sun, 13 Nov 2005)
47 2191 1332 2005-11-13 15:55:11 +0100 (Sun, 13 Nov 2005)
